epoch,step,train_loss_epoch,train_loss_regularized_epoch,train_loss_regularized_step,train_loss_scaled (x10^0)_epoch,train_loss_scaled (x10^0)_step,train_loss_step,val_loss_epoch,val_loss_scaled (x10^0)_epoch,val_loss_scaled (x10^0)_step,val_loss_step
0,0,,,42.83736038208008,,42.25526428222656,42.25526428222656,,,,
0,1,,,20.666685104370117,,20.085479736328125,20.085479736328125,,,,
0,2,,,22.85898208618164,,22.278472900390625,22.278472900390625,,,,
0,3,,,30.081127166748047,,29.50127601623535,29.50127601623535,,,,
0,4,,,61.82773208618164,,61.24850845336914,61.24850845336914,,,,
0,5,,,40.82708740234375,,40.24848556518555,40.24848556518555,,,,
0,6,,,60.11933517456055,,59.54145050048828,59.54145050048828,,,,
,0,,,,,,,,,3.6690990924835205,3.6690990924835205
0,6,,,,,,,3.6690990924835205,3.6690990924835205,,
0,6,37.324790954589844,37.9048957824707,,37.324790954589844,,,,,,
1,7,,,27.872304916381836,,27.29520034790039,27.29520034790039,,,,
1,8,,,45.30989456176758,,44.73348617553711,44.73348617553711,,,,
1,9,,,32.40777587890625,,31.83209800720215,31.83209800720215,,,,
1,10,,,56.662620544433594,,56.087623596191406,56.087623596191406,,,,
1,11,,,30.627185821533203,,30.05289649963379,30.05289649963379,,,,
1,12,,,46.419071197509766,,45.845489501953125,45.845489501953125,,,,
1,13,,,5.250936985015869,,4.678048133850098,4.678048133850098,,,,
,1,,,,,,,,,3.6475868225097656,3.6475868225097656
1,13,,,,,,,3.6475868225097656,3.6475868225097656,,
1,13,37.270755767822266,37.845951080322266,,37.270755767822266,,,,,,
2,14,,,50.34758377075195,,49.775360107421875,49.775360107421875,,,,
2,15,,,34.673789978027344,,34.10238265991211,34.10238265991211,,,,
2,16,,,46.88893508911133,,46.31825637817383,46.31825637817383,,,,
2,17,,,45.40542221069336,,44.83548355102539,44.83548355102539,,,,
2,18,,,26.770099639892578,,26.20094871520996,26.20094871520996,,,,
2,19,,,25.686452865600586,,25.11807632446289,25.11807632446289,,,,
2,20,,,29.6151180267334,,29.04753303527832,29.04753303527832,,,,
,2,,,,,,,,,3.623436212539673,3.623436212539673
2,20,,,,,,,3.623436212539673,3.623436212539673,,
2,20,37.214637756347656,37.78477478027344,,37.214637756347656,,,,,,
3,21,,,76.63239288330078,,76.06556701660156,76.06556701660156,,,,
3,22,,,30.69733428955078,,30.13131332397461,30.13131332397461,,,,
3,23,,,28.405977249145508,,27.840686798095703,27.840686798095703,,,,
3,24,,,19.154499053955078,,18.590059280395508,18.590059280395508,,,,
3,25,,,32.02540969848633,,31.4617862701416,31.4617862701416,,,,
