epoch,step,train_loss_epoch,train_loss_regularized_epoch,train_loss_regularized_step,train_loss_scaled (x10^0)_epoch,train_loss_scaled (x10^0)_step,train_loss_step,val_loss_epoch,val_loss_scaled (x10^0)_epoch,val_loss_scaled (x10^0)_step,val_loss_step
0,0,,,46.42509078979492,,46.41925048828125,46.41925048828125,,,,
0,1,,,32.25439453125,,32.24856185913086,32.24856185913086,,,,
0,2,,,31.20863914489746,,31.202810287475586,31.202810287475586,,,,
0,3,,,8.491168022155762,,8.485343933105469,8.485343933105469,,,,
0,4,,,65.165771484375,,65.15995025634766,65.15995025634766,,,,
0,5,,,43.865360260009766,,43.85954666137695,43.85954666137695,,,,
0,6,,,27.65718650817871,,27.651378631591797,27.651378631591797,,,,
,0,,,,,,,,,3.6976089477539062,3.6976089477539062
0,6,,,,,,,3.6976089477539062,3.6976089477539062,,
0,6,37.29329299926758,37.29911804199219,,37.29329299926758,,,,,,
1,7,,,23.164386749267578,,23.158580780029297,23.158580780029297,,,,
1,8,,,55.07023239135742,,55.06443405151367,55.06443405151367,,,,
1,9,,,32.67033767700195,,32.66454315185547,32.66454315185547,,,,
1,10,,,39.278419494628906,,39.27263259887695,39.27263259887695,,,,
1,11,,,22.99374008178711,,22.987957000732422,22.987957000732422,,,,
1,12,,,49.3209228515625,,49.31514358520508,49.31514358520508,,,,
1,13,,,39.869873046875,,39.86410140991211,39.86410140991211,,,,
,1,,,,,,,,,3.674696922302246,3.674696922302246
1,13,,,,,,,3.674696683883667,3.674696683883667,,
1,13,37.24114990234375,37.24694061279297,,37.24114990234375,,,,,,
2,14,,,55.979957580566406,,55.97419357299805,55.97419357299805,,,,
2,15,,,20.428699493408203,,20.422943115234375,20.422943115234375,,,,
2,16,,,41.95927429199219,,41.95352554321289,41.95352554321289,,,,
2,17,,,38.52680969238281,,38.52106475830078,38.52106475830078,,,,
2,18,,,47.143672943115234,,47.137935638427734,47.137935638427734,,,,
2,19,,,23.312389373779297,,23.306657791137695,23.306657791137695,,,,
2,20,,,25.926528930664062,,25.92080307006836,25.92080307006836,,,,
,2,,,,,,,,,3.650423526763916,3.650423526763916
2,20,,,,,,,3.650423526763916,3.650423526763916,,
2,20,37.18221664428711,37.18796157836914,,37.18221664428711,,,,,,
3,21,,,30.484220504760742,,30.478500366210938,30.478500366210938,,,,
3,22,,,36.1374397277832,,36.13172912597656,36.13172912597656,,,,
3,23,,,34.47496032714844,,34.46925354003906,34.46925354003906,,,,
3,24,,,48.42414474487305,,48.4184455871582,48.4184455871582,,,,
3,25,,,39.06608963012695,,39.06039810180664,39.06039810180664,,,,
3,26,,,43.16173553466797,,43.15605163574219,43.15605163574219,,,,
3,27,,,13.125273704528809,,13.119593620300293,13.119593620300293,,,,
,3,,,,,,,,,3.625192165374756,3.625192165374756
3,27,,,,,,,3.625192165374756,3.625192165374756,,
3,27,37.11909103393555,37.12479782104492,,37.11909103393555,,,,,,
4,28,,,67.43489837646484,,67.4292221069336,67.4292221069336,,,,
4,29,,,33.59259033203125,,33.58692169189453,33.58692169189453,,,,
4,30,,,36.07727813720703,,36.071617126464844,36.071617126464844,,,,
4,31,,,28.279926300048828,,28.274272918701172,28.274272918701172,,,,
4,32,,,40.161251068115234,,40.15560531616211,40.15560531616211,,,,
4,33,,,18.46284294128418,,18.457202911376953,18.457202911376953,,,,
4,34,,,32.68558883666992,,32.679954528808594,32.679954528808594,,,,
,4,,,,,,,,,3.5989725589752197,3.5989725589752197
4,34,,,,,,,3.5989725589752197,3.5989725589752197,,
4,34,37.055660247802734,37.06131362915039,,37.055660247802734,,,,,,
5,35,,,44.20563888549805,,44.200016021728516,44.200016021728516,,,,
5,36,,,32.02193069458008,,32.01631164550781,32.01631164550781,,,,
5,37,,,38.08448028564453,,38.0788688659668,38.0788688659668,,,,
5,38,,,24.284242630004883,,24.27863883972168,24.27863883972168,,,,
5,39,,,36.209449768066406,,36.203853607177734,36.203853607177734,,,,
5,40,,,47.31281661987305,,47.307228088378906,47.307228088378906,,,,
5,41,,,36.565914154052734,,36.560333251953125,36.560333251953125,,,,
,5,,,,,,,,,3.5725080966949463,3.5725080966949463
5,41,,,,,,,3.5725080966949463,3.5725080966949463,,
5,41,36.98746109008789,36.993064880371094,,36.98746109008789,,,,,,
6,42,,,49.25257110595703,,49.24699401855469,49.24699401855469,,,,
6,43,,,42.97352600097656,,42.96795654296875,42.96795654296875,,,,
6,44,,,34.41436004638672,,34.40879821777344,34.40879821777344,,,,
6,45,,,47.529754638671875,,47.524200439453125,47.524200439453125,,,,
6,46,,,33.48857116699219,,33.48302459716797,33.48302459716797,,,,
6,47,,,25.95403480529785,,25.94849395751953,25.94849395751953,,,,
