epoch,step,train_loss_epoch,train_loss_regularized_epoch,train_loss_regularized_step,train_loss_scaled (x10^0)_epoch,train_loss_scaled (x10^0)_step,train_loss_step,val_loss_epoch,val_loss_scaled (x10^0)_epoch,val_loss_scaled (x10^0)_step,val_loss_step
0,0,,,30.019189834594727,,28.858484268188477,28.858484268188477,,,,
0,1,,,39.92339324951172,,38.76451873779297,38.76451873779297,,,,
0,2,,,35.208126068115234,,34.05061721801758,34.05061721801758,,,,
0,3,,,49.97395324707031,,48.817771911621094,48.817771911621094,,,,
0,4,,,37.6472053527832,,36.4923095703125,36.4923095703125,,,,
0,5,,,35.25653076171875,,34.10293960571289,34.10293960571289,,,,
0,6,,,38.26185607910156,,37.109596252441406,37.109596252441406,,,,
,0,,,,,,,,,3.515117883682251,3.515117883682251
0,6,,,,,,,3.515117883682251,3.515117883682251,,
0,6,36.86317443847656,38.01985549926758,,36.86317443847656,,,,,,
1,7,,,63.97958755493164,,62.82862854003906,62.82862854003906,,,,
1,8,,,32.97228240966797,,31.82275390625,31.82275390625,,,,
1,9,,,45.52703857421875,,44.37902069091797,44.37902069091797,,,,
1,10,,,9.753877639770508,,8.607292175292969,8.607292175292969,,,,
1,11,,,29.14982795715332,,28.004602432250977,28.004602432250977,,,,
1,12,,,51.83723831176758,,50.6934700012207,50.6934700012207,,,,
1,13,,,23.367399215698242,,22.22518539428711,22.22518539428711,,,,
,1,,,,,,,,,3.493267059326172,3.493267059326172
1,13,,,,,,,3.493267059326172,3.493267059326172,,
1,13,36.811012268066406,37.95805740356445,,36.811012268066406,,,,,,
2,14,,,46.444698333740234,,45.30397033691406,45.30397033691406,,,,
2,15,,,15.238349914550781,,14.09925365447998,14.09925365447998,,,,
2,16,,,26.019926071166992,,24.882308959960938,24.882308959960938,,,,
2,17,,,57.7567024230957,,56.620662689208984,56.620662689208984,,,,
2,18,,,46.5504150390625,,45.416019439697266,45.416019439697266,,,,
2,19,,,34.01359558105469,,32.880794525146484,32.880794525146484,,,,
2,20,,,41.376197814941406,,40.24507522583008,40.24507522583008,,,,
,2,,,,,,,,,3.469000816345215,3.469000816345215
2,20,,,,,,,3.4690005779266357,3.4690005779266357,,
2,20,36.75214385986328,37.888587951660156,,36.75214385986328,,,,,,
3,21,,,21.77356719970703,,20.643938064575195,20.643938064575195,,,,
3,22,,,32.958805084228516,,31.830854415893555,31.830854415893555,,,,
3,23,,,55.86606216430664,,54.73978805541992,54.73978805541992,,,,
3,24,,,37.53052520751953,,36.40587615966797,36.40587615966797,,,,
3,25,,,28.233272552490234,,27.11029815673828,27.11029815673828,,,,
3,26,,,55.35421371459961,,54.23284149169922,54.23284149169922,,,,
3,27,,,24.925222396850586,,23.8055362701416,23.8055362701416,,,,
,3,,,,,,,,,3.4436678886413574,3.4436678886413574
3,27,,,,,,,3.4436678886413574,3.4436678886413574,,
3,27,36.6887321472168,37.81386947631836,,36.6887321472168,,,,,,
4,28,,,23.039037704467773,,21.921062469482422,21.921062469482422,,,,
4,29,,,28.200590133666992,,27.084211349487305,27.084211349487305,,,,
4,30,,,28.610549926757812,,27.495880126953125,27.495880126953125,,,,
4,31,,,46.16276550292969,,45.049705505371094,45.049705505371094,,,,
4,32,,,38.24754333496094,,37.13623809814453,37.13623809814453,,,,
4,33,,,48.782493591308594,,47.672943115234375,47.672943115234375,,,,
4,34,,,73.38616943359375,,72.27832794189453,72.27832794189453,,,,
,4,,,,,,,,,3.416743040084839,3.416743040084839
4,34,,,,,,,3.416743040084839,3.416743040084839,,
4,34,36.62186813354492,37.73533630371094,,36.62186813354492,,,,,,
5,35,,,26.763961791992188,,25.657917022705078,25.657917022705078,,,,
5,36,,,42.997474670410156,,41.89305114746094,41.89305114746094,,,,
5,37,,,28.679988861083984,,27.57724952697754,27.57724952697754,,,,
