epoch,step,train_loss_epoch,train_loss_regularized_epoch,train_loss_regularized_step,train_loss_scaled (x10^0)_epoch,train_loss_scaled (x10^0)_step,train_loss_step,val_loss_epoch,val_loss_scaled (x10^0)_epoch,val_loss_scaled (x10^0)_step,val_loss_step
0,0,,,27.696123123168945,,27.6385555267334,27.6385555267334,,,,
0,1,,,33.980770111083984,,33.923274993896484,33.923274993896484,,,,
0,2,,,41.655921936035156,,41.59847640991211,41.59847640991211,,,,
0,3,,,30.438570022583008,,30.381187438964844,30.381187438964844,,,,
0,4,,,20.755538940429688,,20.698213577270508,20.698213577270508,,,,
0,5,,,59.25357437133789,,59.19629669189453,59.19629669189453,,,,
0,6,,,57.03129577636719,,56.97407531738281,56.97407531738281,,,,
,0,,,,,,,,,3.5005459785461426,3.5005459785461426
0,6,,,,,,,3.5005459785461426,3.5005459785461426,,
0,6,36.831573486328125,36.88897705078125,,36.831573486328125,,,,,,
1,7,,,39.71711349487305,,39.65996170043945,39.65996170043945,,,,
1,8,,,48.5638427734375,,48.50674819946289,48.50674819946289,,,,
1,9,,,27.9135799407959,,27.85654067993164,27.85654067993164,,,,
1,10,,,23.775121688842773,,23.718135833740234,23.718135833740234,,,,
1,11,,,42.29024887084961,,42.23332214355469,42.23332214355469,,,,
1,12,,,44.01660919189453,,43.959739685058594,43.959739685058594,,,,
1,13,,,22.785350799560547,,22.728565216064453,22.728565216064453,,,,
,1,,,,,,,,,3.478769063949585,3.478769063949585
1,13,,,,,,,3.478769063949585,3.478769063949585,,
1,13,36.777671813964844,36.83467102050781,,36.777671813964844,,,,,,
2,14,,,31.961885452270508,,31.90517234802246,31.90517234802246,,,,
2,15,,,55.74707794189453,,55.690425872802734,55.690425872802734,,,,
2,16,,,14.134880065917969,,14.078293800354004,14.078293800354004,,,,
2,17,,,52.8013801574707,,52.74486541748047,52.74486541748047,,,,
2,18,,,29.408931732177734,,29.352495193481445,29.352495193481445,,,,
2,19,,,35.391841888427734,,35.335472106933594,35.335472106933594,,,,
2,20,,,40.00611877441406,,39.94981002807617,39.94981002807617,,,,
,2,,,,,,,,,3.454768419265747,3.454768419265747
2,20,,,,,,,3.454768419265747,3.454768419265747,,
2,20,36.719669342041016,36.77620315551758,,36.719669342041016,,,,,,
3,21,,,41.97844696044922,,41.92219924926758,41.92219924926758,,,,
3,22,,,26.118806838989258,,26.062625885009766,26.062625885009766,,,,
3,23,,,27.903596878051758,,27.847484588623047,27.847484588623047,,,,
3,24,,,45.18962478637695,,45.13358688354492,45.13358688354492,,,,
3,25,,,27.940427780151367,,27.88446044921875,27.88446044921875,,,,
3,26,,,44.793697357177734,,44.73780822753906,44.73780822753906,,,,
3,27,,,53.63827133178711,,53.58244705200195,53.58244705200195,,,,
,3,,,,,,,,,3.4291930198669434,3.4291930198669434
