epoch,step,train_loss_epoch,train_loss_regularized_epoch,train_loss_regularized_step,train_loss_scaled (x10^0)_epoch,train_loss_scaled (x10^0)_step,train_loss_step,val_loss_epoch,val_loss_scaled (x10^0)_epoch,val_loss_scaled (x10^0)_step,val_loss_step
0,0,,,43.51309585571289,,43.512516021728516,43.512516021728516,,,,
0,1,,,38.663822174072266,,38.66324234008789,38.66324234008789,,,,
0,2,,,45.392147064208984,,45.391571044921875,45.391571044921875,,,,
0,3,,,38.372100830078125,,38.371524810791016,38.371524810791016,,,,
0,4,,,16.682405471801758,,16.68182945251465,16.68182945251465,,,,
0,5,,,32.817623138427734,,32.817047119140625,32.817047119140625,,,,
0,6,,,65.68955993652344,,65.6889877319336,65.6889877319336,,,,
,0,,,,,,,,,3.8364181518554688,3.8364181518554688
0,6,,,,,,,3.8364181518554688,3.8364181518554688,,
0,6,37.6582145690918,37.658790588378906,,37.6582145690918,,,,,,
1,7,,,23.44416618347168,,23.44359016418457,23.44359016418457,,,,
1,8,,,35.11148452758789,,35.11090850830078,35.11090850830078,,,,
1,9,,,38.090450286865234,,38.08987808227539,38.08987808227539,,,,
1,10,,,53.19014358520508,,53.189571380615234,53.189571380615234,,,,
1,11,,,32.15855407714844,,32.157981872558594,32.157981872558594,,,,
1,12,,,46.41264343261719,,46.412071228027344,46.412071228027344,,,,
1,13,,,30.187883377075195,,30.18731117248535,30.18731117248535,,,,
,1,,,,,,,,,3.813371419906616,3.813371419906616
1,13,,,,,,,3.813371419906616,3.813371419906616,,
1,13,37.60380554199219,37.604373931884766,,37.60380554199219,,,,,,
2,14,,,39.921058654785156,,39.92048645019531,39.92048645019531,,,,
2,15,,,65.81922912597656,,65.81865692138672,65.81865692138672,,,,
2,16,,,23.43341827392578,,23.43284797668457,23.43284797668457,,,,
2,17,,,36.144962310791016,,36.14439392089844,36.14439392089844,,,,
2,18,,,38.88566589355469,,38.88509750366211,38.88509750366211,,,,
2,19,,,24.928508758544922,,24.927940368652344,24.927940368652344,,,,
2,20,,,27.270061492919922,,27.269493103027344,27.269493103027344,,,,
,2,,,,,,,,,3.7885611057281494,3.7885611057281494
2,20,,,,,,,3.7885611057281494,3.7885611057281494,,
2,20,37.54595947265625,37.54652786254883,,37.54595947265625,,,,,,
3,21,,,28.436573028564453,,28.436006546020508,28.436006546020508,,,,
3,22,,,32.887245178222656,,32.88667678833008,32.88667678833008,,,,
3,23,,,45.5733642578125,,45.57279968261719,45.57279968261719,,,,
3,24,,,64.5975112915039,,64.5969467163086,64.5969467163086,,,,
3,25,,,28.316423416137695,,28.315858840942383,28.315858840942383,,,,
3,26,,,15.181785583496094,,15.181221008300781,15.181221008300781,,,,
3,27,,,63.8885612487793,,63.887996673583984,63.887996673583984,,,,
,3,,,,,,,,,3.7617430686950684,3.7617430686950684
3,27,,,,,,,3.7617430686950684,3.7617430686950684,,
3,27,37.48196029663086,37.48252487182617,,37.48196029663086,,,,,,
4,28,,,23.031126022338867,,23.030563354492188,23.030563354492188,,,,
