year,sex,age,mortality_rate
1950,Female,99,0.50263257
1950,Male,100,0.60538696
1950,Female,100,0.55510591
1951,Male,0,0.22307323
1951,Female,0,0.18095609
1951,Male,1,0.06584857
1951,Female,1,0.06034682
1951,Male,2,0.04262518
1951,Female,2,0.0395892
1951,Male,3,0.02791144
1951,Female,3,0.0262604
1951,Male,4,0.01871055
1951,Female,4,0.01781612
1951,Male,5,0.01300501
1951,Female,5,0.01251465
1951,Male,6,0.009483
1951,Female,6,0.00921104
1951,Male,7,0.00732224
1951,Female,7,0.00717048
1951,Male,8,0.00599462
1951,Female,8,0.00591773
1951,Male,9,0.00519408
1951,Female,9,0.00517455
1951,Male,10,0.00472946
1951,Female,10,0.0047666
1951,Male,11,0.00448815
1951,Female,11,0.00459292
1951,Male,12,0.00440553
1951,Female,12,0.00459046
1951,Male,13,0.00444297
1951,Female,13,0.00471823
1951,Male,14,0.00458706
1951,Female,14,0.00494677
1951,Male,15,0.00483659
1951,Female,15,0.0052495
1951,Male,16,0.00519876
1951,Female,16,0.00560077
1951,Male,17,0.00568454
1951,Female,17,0.00597186
1951,Male,18,0.0062871
1951,Female,18,0.00633827
1951,Male,19,0.00698001
1951,Female,19,0.00667631
1951,Male,20,0.00769688
1951,Female,20,0.00697368
1951,Male,21,0.00833379
1951,Female,21,0.00722369
1951,Male,22,0.00879873
1951,Female,22,0.00742893
1951,Male,23,0.00902393
1951,Female,23,0.00759705
1951,Male,24,0.00902504
1951,Female,24,0.00774115
1951,Male,25,0.00887717
1951,Female,25,0.0078767
1951,Male,26,0.00867641
1951,Female,26,0.00801857
1951,Male,27,0.00852025
1951,Female,27,0.00818018
1951,Male,28,0.00845833
1951,Female,28,0.00836476
1951,Male,29,0.00850827
1951,Female,29,0.00857022
1951,Male,30,0.00865799
1951,Female,30,0.00878408
1951,Male,31,0.00887089
1951,Female,31,0.00898988
1951,Male,32,0.00911489
1951,Female,32,0.00917695
1951,Male,33,0.00936225
1951,Female,33,0.00933911
1951,Male,34,0.00960257
1951,Female,34,0.0094858
1951,Male,35,0.00984517
1951,Female,35,0.00963409
1951,Male,36,0.01010516
1951,Female,36,0.00980332
1951,Male,37,0.01040339
1951,Female,37,0.01001222
1951,Male,38,0.01075112
1951,Female,38,0.01026016
1951,Male,39,0.01114539
1951,Female,39,0.0105344
1951,Male,40,0.01157414
1951,Female,40,0.01080444
1951,Male,41,0.01201257
1951,Female,41,0.01103051
1951,Male,42,0.01244123
1951,Female,42,0.01119262
1951,Male,43,0.01285398
1951,Female,43,0.01128692
1951,Male,44,0.01325886
1951,Female,44,0.01134792
1951,Male,45,0.01368834
1951,Female,45,0.01143328
1951,Male,46,0.01417807
1951,Female,46,0.01160361
1951,Male,47,0.01476196
1951,Female,47,0.0119211
1951,Male,48,0.01546232
1951,Female,48,0.01241147
1951,Male,49,0.0162688
1951,Female,49,0.01307428
1951,Male,50,0.01715601
1951,Female,50,0.0138716
1951,Male,51,0.01807347
1951,Female,51,0.01472893
1951,Male,52,0.01897301
1951,Female,52,0.01558546
1951,Male,53,0.01984387
1951,Female,53,0.01639707
1951,Male,54,0.02070116
1951,Female,54,0.01718114
1951,Male,55,0.02162149
1951,Female,55,0.0180172
1951,Male,56,0.02269966
1951,Female,56,0.01900978
1951,Male,57,0.02402454
1951,Female,57,0.02028958
1951,Male,58,0.02567742
1951,Female,58,0.02194399
1951,Male,59,0.02766619
1951,Female,59,0.02400778
1951,Male,60,0.02996336
1951,Female,60,0.02644627
1951,Male,61,0.03248
1951,Female,61,0.02912266
1951,Male,62,0.03509667
1951,Female,62,0.03189181
1951,Male,63,0.03775894
1951,Female,63,0.03462509
1951,Male,64,0.04045411
1951,Female,64,0.03729339
1951,Male,65,0.04329616
1951,Female,65,0.04002325
1951,Male,66,0.0464712
1951,Female,66,0.04301086
1951,Male,67,0.05016378
1951,Female,67,0.04652791
1951,Male,68,0.054566
1951,Female,68,0.05079505
1951,Male,69,0.05974519
1951,Female,69,0.05591551
1951,Male,70,0.06568111
1951,Female,70,0.06187983
1951,Male,71,0.07225114
1951,Female,71,0.06847548
1951,Male,72,0.07923953
1951,Female,72,0.07544547
1951,Male,73,0.08651496
1951,Female,73,0.08255466
1951,Male,74,0.09402065
1951,Female,74,0.08967369
1951,Male,75,0.10187289
1951,Female,75,0.09692157
1951,Male,76,0.11034546
1951,Female,76,0.10451988
1951,Male,77,0.11971526
1951,Female,77,0.11280016
1951,Male,78,0.13026621
1951,Female,78,0.12206361
1951,Male,79,0.14214411
1951,Female,79,0.13245314
1951,Male,80,0.15533636
1951,Female,80,0.14401315
1951,Male,81,0.16971444
1951,Female,81,0.15658975
1951,Male,82,0.18501117
1951,Female,82,0.16996998
1951,Male,83,0.20095587
1951,Female,83,0.18394159
1951,Male,84,0.21729907
1951,Female,84,0.19830485
1951,Male,85,0.23384955
1951,Female,85,0.21296609
1951,Male,86,0.25052071
1951,Female,86,0.22789115
1951,Male,87,0.26734922
1951,Female,87,0.24316859
1951,Male,88,0.28454737
1951,Female,88,0.25897081
1951,Male,89,0.3024663
1951,Female,89,0.27558868
1951,Male,90,0.32162523
1951,Female,90,0.29336287
1951,Male,91,0.34250432
1951,Female,91,0.3126326
1951,Male,92,0.36543581
1951,Female,92,0.33366556
1951,Male,93,0.39052365
1951,Female,93,0.3564227
1951,Male,94,0.41740617
1951,Female,94,0.38067817
1951,Male,95,0.44548895
1951,Female,95,0.4058675
1951,Male,96,0.47391813
1951,Female,96,0.43132491
1951,Male,97,0.50188387
1951,Female,97,0.45655425
1951,Male,98,0.52894907
1951,Female,98,0.48118975
1951,Male,99,0.55486078
1951,Female,99,0.5053077
1951,Male,100,0.60431987
1951,Female,100,0.55769146
1952,Male,0,0.21769368
1952,Female,0,0.17656753
1952,Male,1,0.06264515
1952,Female,1,0.05750483
1952,Male,2,0.04069628
1952,Female,2,0.03779764
1952,Male,3,0.02673476
1952,Female,3,0.02511308
1952,Male,4,0.01797197
1952,Female,4,0.01706037
1952,Male,5,0.0125196
1952,Female,5,0.01199559
1952,Male,6,0.0091437
1952,Female,6,0.00883448
1952,Male,7,0.00706734
1952,Female,7,0.00687948
1952,Male,8,0.0057895
1952,Female,8,0.00567853
1952,Male,9,0.00501866
1952,Female,9,0.00496639
1952,Male,10,0.00457245
1952,Female,10,0.0045766
1952,Male,11,0.0043434
1952,Female,11,0.00441271
1952,Male,12,0.00426965
1952,Female,12,0.00441435
1952,Male,13,0.00431437
1952,Female,13,0.00454245
1952,Male,14,0.00446443
1952,Female,14,0.00476861
1952,Male,15,0.00471801
1952,Female,15,0.00506692
1952,Male,16,0.00508104
1952,Female,16,0.0054119
1952,Male,17,0.00556261
1952,Female,17,0.00577491
1952,Male,18,0.00615474
1952,Female,18,0.00613177
1952,Male,19,0.00683037
1952,Female,19,0.00645934
1952,Male,20,0.00752468
1952,Female,20,0.00674625
1952,Male,21,0.00813778
1952,Female,21,0.00698695
1952,Male,22,0.00858231
1952,Female,22,0.00718487
1952,Male,23,0.00879499
1952,Female,23,0.00734821
1952,Male,24,0.00879236
1952,Female,24,0.00748975
1952,Male,25,0.0086474
1952,Female,25,0.0076242
1952,Male,26,0.00845267
1952,Female,26,0.0077654
1952,Male,27,0.00830179
1952,Female,27,0.00792569
1952,Male,28,0.00824243
1952,Female,28,0.00810796
1952,Male,29,0.00829162
1952,Female,29,0.00831013
1952,Male,30,0.00843795
1952,Female,30,0.00852066
1952,Male,31,0.00864646
1952,Female,31,0.00872428
1952,Male,32,0.00888647
1952,Female,32,0.00891113
1952,Male,33,0.00913133
1952,Female,33,0.00907552
1952,Male,34,0.00937085
1952,Female,34,0.00922626
1952,Male,35,0.00961375
1952,Female,35,0.00937938
1952,Male,36,0.00987436
1952,Female,36,0.00955311
1952,Male,37,0.01017258
1952,Female,37,0.00976508
1952,Male,38,0.01051931
